ProductName,FotoName,FotoCode,Quantity,Price,RetailPrice
Р-5137П,ПончикиГазета беж,100004509,"7,00","960,00","1600,00"
Р-5137П,Бордо,100004576,0,"960,00","1600,00"
Р-5137П,Пончики голубой,100004641,"2,00","960,00","1600,00"
Р-5137П,Коричневый,100004577,0,"960,00","1600,00"
Р-5137П,Синий-нэви,100004579,"2,00","960,00","1600,00"
Р-5137П,Серо-синий,100004578,"6,00","960,00","1600,00"
Р-5137П,Черный,100004580,"1,00","960,00","1600,00"
Р-5137П,Хаки,100004581,"2,00","960,00","1600,00"
Р-5145,Клетка черно-белая,000001124,"6,00","600,00","1000,00"
Р-5145,Свин черный,000001116,0,"600,00","1000,00"
Р-5145,Свин белый,000001118,"4,00","600,00","1000,00"
Р-5145,СобакиТаксы,100003643,"10,00","600,00","1000,00"
Р-5145,Коты белые,100003645,0,"600,00","1000,00"
Р-5145,Клетка розовая-сиреневая,100003649,"6,00","600,00","1000,00"
Р-5145,Одуванчик черно-фиолетовый,100003851,"7,00","600,00","1000,00"
Р-5145,СпанчБоб,100003853,"10,00","600,00","1000,00"
Р-5145,Цветы черные-голубые,100003855,"3,00","600,00","1000,00"
Р-5145,Цветы коричн-беж-гол,100003854,0,"600,00","1000,00"
Р-5145,Клетка красно-черная,000002561,0,"600,00","1000,00"
Р-5145,Газета беж-черная,000000021,0,"600,00","1000,00"
Р-5145,Огурцы черные,000000804,0,"600,00","1000,00"
Р-5145,Полосы черно-бело-красные,000002562,0,"600,00","1000,00"
Р-5145,Газета сине-белая,000001070,0,"600,00","1000,00"
Р-5145,Шотландка синяя-беж,000001104,"2,00","600,00","1000,00"
Р-5145,Клетка5 черн-фиол-розовая,000001100,0,"600,00","1000,00"
Р-5145,ФлагБританияГазета,000001067,0,"600,00","1000,00"
Р-5145,Клетка2 черн-фиол-роз-бир,000001092,0,"600,00","1000,00"
Р-5145,Клетка4 гол-зел-жел-крас,000001094,0,"600,00","1000,00"
Р-5145,Цветы бело-зелен-серые,000001077,0,"600,00","1000,00"
Р-5145,СхемаПариж,000000521,0,"600,00","1000,00"
Р-5145,Звезды корич-бирюза,000001114,0,"600,00","1000,00"
Р-5145,Цветы розово-бордовые,000001200,0,"600,00","1000,00"
Р-5145,Цветы голубые-бордо,000001345,0,"600,00","1000,00"
Р-5145,Диагональ серо-салатовая,000002889,"1,00","600,00","1000,00"
Р-5145,Клетка черно-серо-белая,000003363,0,"600,00","1000,00"
Р-5145,Цветы серо-черные,000003291,0,"600,00","1000,00"
