Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Москва";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Адрес видео на YouTube или Vimeo";"Дополнительные параметры";Пол;"Страна бренда";"Размеры ДхШхВ";Объем;Материал;Цвет;Вес;Бренд;"Отделение для ноутбука";"С рисунком";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Рюкзак Asgard Р-455 Бирюза";;Р-455;RUB;2280;1;0;1440;7;7;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-455-biryuza;;;унисекс;Российские;"44 * 32 * 21";"24 л";Полиэстер;голубой;"0.7 кг";Asgard;15'';;http://goldentrek.ru/wa-data/public/shop/products/97/30/3097/images/9904/9904.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/97/30/3097/images/9905/9905.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/97/30/3097/images/9908/9908.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/97/30/3097/images/9906/9906.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/97/30/3097/images/9907/9907.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/97/30/3097/images/9903/9903.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/97/30/3097/images/9909/9909.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-455 Бордо";;Р-455;RUB;2280;1;0;1440;3;3;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-455-star-red;;;унисекс;Российские;"44 * 32 * 21";"24 л";Полиэстер;{красный,11,8,16711680,6,};"0.7 кг";Asgard;15'';;http://goldentrek.ru/wa-data/public/shop/products/02/31/3102/images/9949/9949.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/02/31/3102/images/9943/9943.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/02/31/3102/images/9944/9944.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/02/31/3102/images/9945/9945.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/02/31/3102/images/9946/9946.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/02/31/3102/images/9947/9947.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/02/31/3102/images/9948/9948.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-455 Звезды синие-серые";;Р-455;RUB;2280;1;0;1440;6;6;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-455-star-blue-gray;;;унисекс;Российские;"44 * 32 * 21";"24 л";Полиэстер;{синий,11,Сапфировый,9,14,255,};"0.7 кг";Asgard;15'';;http://goldentrek.ru/wa-data/public/shop/products/01/31/3101/images/9941/9941.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/01/31/3101/images/9935/9935.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/01/31/3101/images/9936/9936.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/01/31/3101/images/9937/9937.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/01/31/3101/images/9938/9938.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/01/31/3101/images/9939/9939.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/01/31/3101/images/9940/9940.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-455 ОгурцыЦветы серо-розовые";;Р-455;RUB;2280;1;0;1440;6;6;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-455-flow-gray-rose;;;унисекс;Российские;"44 * 32 * 21";"24 л";Полиэстер;{розовый,серый,11,10,16730613,7,};"0.7 кг";Asgard;15'';;http://goldentrek.ru/wa-data/public/shop/products/03/31/3103/images/9957/9957.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/03/31/3103/images/9951/9951.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/03/31/3103/images/9952/9952.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/03/31/3103/images/9953/9953.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/03/31/3103/images/9954/9954.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/03/31/3103/images/9955/9955.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/03/31/3103/images/9956/9956.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-455 Пончик черно-розовый";;Р-455;RUB;2280;1;0;1440;1;1;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-455-pon-black-rose;;;унисекс;Российские;"44 * 32 * 21";"24 л";Полиэстер;{черный,0,13,20,11,};"0.7 кг";Asgard;15'';;http://goldentrek.ru/wa-data/public/shop/products/99/30/3099/images/9925/9925.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/99/30/3099/images/9919/9919.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/99/30/3099/images/9920/9920.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/99/30/3099/images/9921/9921.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/99/30/3099/images/9922/9922.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/99/30/3099/images/9923/9923.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/99/30/3099/images/9924/9924.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-455 Серо-фиолетовый";;Р-455;RUB;2280;1;0;1440;5;5;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-455-gray-vio;;;унисекс;Российские;"44 * 32 * 21";"24 л";Полиэстер;{фиолетовый,серый,11,9109759,18,};"0.7 кг";Asgard;15'';;http://goldentrek.ru/wa-data/public/shop/products/98/30/3098/images/9917/9917.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/98/30/3098/images/9911/9911.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/98/30/3098/images/9912/9912.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/98/30/3098/images/9913/9913.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/98/30/3098/images/9914/9914.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/98/30/3098/images/9915/9915.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/98/30/3098/images/9916/9916.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-455 Серый";;Р-455;RUB;2280;1;0;1440;0;0;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-455-gray;;;унисекс;Российские;"44 * 32 * 21";"24 л";Полиэстер;{серый,11,11052710,12,19,};"0.7 кг";Asgard;15'';;http://goldentrek.ru/wa-data/public/shop/products/04/31/3104/images/9965/9965.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/04/31/3104/images/9959/9959.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/04/31/3104/images/9960/9960.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/04/31/3104/images/9961/9961.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/04/31/3104/images/9962/9962.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/04/31/3104/images/9963/9963.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/04/31/3104/images/9964/9964.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-455 Синий";;Р-455;RUB;2280;1;0;1440;6;6;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-455-blue;;;унисекс;Российские;"44 * 32 * 21";"24 л";Полиэстер;{синий,11,Сапфировый,9,14,255,};"0.7 кг";Asgard;15'';;http://goldentrek.ru/wa-data/public/shop/products/00/31/3100/images/9933/9933.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/00/31/3100/images/9927/9927.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/00/31/3100/images/9928/9928.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/00/31/3100/images/9929/9929.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/00/31/3100/images/9930/9930.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/00/31/3100/images/9931/9931.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/00/31/3100/images/9932/9932.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-5080 Клетка бордовая";;Р-5080;RUB;2090;1;0;1320;10;10;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5080-kletka-bordovaya;;;женский;Российские;"29 * 23 * 12 см";"6 л";Текстиль;{красный,11,8,16711680,6,};"0.4 кг";Asgard;;"В клетку";http://goldentrek.ru/wa-data/public/shop/products/05/31/3105/images/9971/9971.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/05/31/3105/images/9969/9969.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/05/31/3105/images/9966/9966.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/05/31/3105/images/9967/9967.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/05/31/3105/images/9968/9968.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/05/31/3105/images/9970/9970.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5080 Клетка голубая";;Р-5080;RUB;2090;1;0;1320;10;10;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5080-kletka-blue;;;женский;Российские;"29 * 23 * 12 см";"6 л";Текстиль;{голубой,11,12,15,11397629,};"0.4 кг";Asgard;;"В клетку";http://goldentrek.ru/wa-data/public/shop/products/07/31/3107/images/9985/9985.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/07/31/3107/images/9980/9980.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/07/31/3107/images/9981/9981.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/07/31/3107/images/9982/9982.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/07/31/3107/images/9983/9983.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/07/31/3107/images/9984/9984.970.jpg;;;;;;;;;;;;
